PDB,Initial R,Final R,Initial R-free,Final R-free,Initial RMSD(bonds),Final RMSD(bonds),Initial RMSD(angles),Final RMSD(angles),Resolution
5zat,0.2162,0.1998,0.2247,0.223,0.021,0.0256,1.546,2.1652,1.06
5zeg,0.214,0.2082,0.2411,0.2375,0.0123,0.0073,1.3558,1.3427,2.4
5zei,0.2232,0.2126,0.2828,0.2792,0.014,0.0106,1.2877,1.5536,2.1
6a85,0.1741,0.1568,0.1798,0.1742,0.0302,0.0176,1.2023,1.6994,1.45
6adv,0.2586,0.2571,0.2994,0.3017,0.0197,0.0081,2.6742,2.3931,1.96
6aqt,0.235,0.2856,0.2483,0.3031,0.0097,0.0276,1.7051,3.4547,1.05
6aqv,0.2131,0.1954,0.2087,0.208,0.0099,0.0135,1.5881,2.0248,1.3
6aqw,0.2265,0.2118,0.2004,0.1943,0.0103,0.0141,1.513,1.961,1.3
6aqx,0.3136,0.3066,0.2852,0.3142,0.0086,0.0122,1.8839,2.3663,1.55
6au4,0.2809,0.2593,0.2811,0.2711,0.0223,0.0114,1.1409,1.3658,2.35
6bgb,0.2697,0.2499,0.2875,0.2944,0.0067,0.0079,2.5683,2.5823,1.65
6c8d,0.2236,0.2233,0.2789,0.2769,0.0389,0.0105,3.4203,2.1218,1.92
6c8e,0.265,0.2608,0.2862,0.2788,0.055,0.0168,5.3864,4.1489,1.8
6c8i,0.2337,0.2321,0.285,0.2802,0.0334,0.0146,5.6171,4.1385,1.77
6c8j,0.2131,0.2133,0.246,0.2454,0.0383,0.0188,5.6377,4.2922,1.5
6c8k,0.2451,0.2346,0.3086,0.2891,0.0432,0.0088,3.8667,2.7614,2.259
6c8l,0.1895,0.1736,0.2748,0.2597,0.0368,0.0126,4.2589,3.1729,2.25
6c8m,0.249,0.2408,0.2672,0.2637,0.0328,0.0109,4.6434,3.1875,2.4
6c8n,0.2515,0.2511,0.2981,0.2913,0.0531,0.0169,5.6609,4.4196,1.9
6c8o,0.2372,0.2359,0.2767,0.2763,0.038,0.0148,4.3739,3.5083,1.85
6ck5,0.2134,0.2129,0.2501,0.254,0.0385,0.0121,1.8425,1.7897,2.49
6cq3,0.2062,0.1927,0.2238,0.2236,0.0265,0.0139,1.254,1.835,1.3
6cu1,0.251,0.2533,0.2534,0.2658,0.0086,0.0072,0.8771,1.253,3.0
6cxz,0.2209,0.1981,0.2556,0.2456,0.0257,0.0198,1.8428,2.2553,1.5
6cy4,0.321,0.2813,0.3304,0.3152,0.0306,0.0089,2.2019,2.0075,1.851
6dn3,0.2121,0.195,0.2586,0.2573,0.0157,0.0065,0.947,1.1638,2.8
6dy5,0.2547,0.2323,0.2736,0.2596,0.031,0.0242,1.0655,1.4778,1.26
6e1s,0.2566,0.2382,0.2561,0.244,0.0159,0.0139,3.9564,3.8145,1.8
6e1t,0.249,0.2323,0.2538,0.2463,0.0167,0.0148,4.0091,3.7166,1.8
6e1u,0.255,0.2309,0.2608,0.245,0.0073,0.0121,1.627,2.2105,1.94
6e1v,0.3317,0.296,0.3302,0.3124,0.0077,0.0094,1.5282,1.8947,2.56
6e1w,0.235,0.215,0.2535,0.2469,0.0073,0.0125,1.6724,2.0639,1.69
6e81,0.3433,0.3267,0.3207,0.3103,0.0237,0.0063,1.4868,1.0133,2.721
6e84,0.2686,0.2677,0.3304,0.3096,0.0502,0.0127,3.688,2.5034,2.9010000000000002
6e8s,0.1962,0.1883,0.2134,0.2155,0.042,0.0115,2.9047,2.6916,2.35
6e8u,0.1828,0.174,0.2083,0.2048,0.0553,0.0256,3.5277,3.5324,1.55
6f3c,0.2817,0.287,0.2954,0.3056,0.0474,0.0662,10.5545,11.1989,2.3
6fz0,0.2693,0.2425,0.2772,0.2631,0.0125,0.0084,1.0746,1.4623,2.499
6g8s,0.2113,0.1958,0.2101,0.2127,0.0397,0.012,3.2899,2.7866,1.66
6gim,0.1791,0.1768,0.2036,0.2041,0.0232,0.0139,2.898,2.8024,1.43
6h0r,0.2022,0.1981,0.2535,0.2515,0.0593,0.0152,1.0541,1.154,1.73
6h5r,0.2593,0.2405,0.284,0.2762,0.0321,0.0128,3.5861,2.7206,2.0
6hbt,0.2323,0.2177,0.2171,0.2136,0.0132,0.0118,1.507,1.778,1.66
6hbx,0.2131,0.2032,0.2428,0.235,0.0163,0.0123,1.6113,1.9304,1.54
6hc5,0.2248,0.2095,0.2298,0.2272,0.0172,0.0146,2.1378,2.2118,1.413
6hu6,0.2778,0.2607,0.3072,0.3002,0.0197,0.0083,2.4496,1.36,1.9040000000000001
6ip3,0.2137,0.198,0.217,0.2175,0.0288,0.0225,0.9903,1.7854,1.4
6iue,0.2886,0.3107,0.3488,0.347,0.082,0.0295,1.2045,1.0641,1.901
6iyq,0.2649,0.2499,0.2927,0.2754,0.0296,0.0162,2.5698,2.9487,2.01
6jr4,0.1315,0.12,0.1488,0.1385,0.0435,0.0238,1.1041,1.4017,1.798
6jv3,0.2408,0.2417,0.3016,0.2859,0.0248,0.0079,1.8201,1.4981,2.8510000000000004
6mc2,0.1606,0.1539,0.1745,0.1739,0.0499,0.0282,2.3563,2.1444,1.05
6mc3,0.2648,0.2607,0.2605,0.2665,0.0758,0.0162,2.0468,1.634,1.57
6mc4,0.2313,0.2303,0.2732,0.2697,0.0288,0.0086,1.5008,1.4654,2.25
6n4g,0.1882,0.193,0.217,0.2265,0.1346,0.0756,1.768,1.5371,1.4
6p2h,0.255,0.2385,0.2815,0.2762,0.0155,0.0075,0.9586,1.3204,2.803
6qiq,0.2557,0.2293,0.2739,0.2564,0.0303,0.0183,7.1594,6.5439,2.519
6qir,0.2333,0.2192,0.2495,0.2409,0.0236,0.0124,5.0718,4.5544,1.531
6qis,0.2745,0.2547,0.301,0.2867,0.0213,0.0151,4.7852,4.4414,1.99
6qit,0.1852,0.1748,0.1992,0.1902,0.0161,0.0159,2.2459,2.258,1.501
6qiv,0.2258,0.2309,0.2822,0.273,0.0349,0.0177,8.2779,7.6226,2.28
6qn3,0.2909,0.2682,0.3363,0.3172,0.0124,0.0069,1.5995,1.4094,2.3
6rnl,0.2215,0.2066,0.232,0.2395,0.0356,0.0147,3.5938,2.7082,1.88
